x1,y
0,130.01916563931272
1,125.79311199908102
2,91.64265479612646
3,90.11235279185416
4,43.34442726387541
5,77.04344192872591
6,36.55117512415669
7,148.1269686056704
8,76.00017387049304
9,82.94228452587494
10,108.94853735628584
11,136.0219173466428
12,99.17606038169217
13,85.07791592282177
14,152.65512368743123
15,167.61846623909156
16,86.70262207295588
17,166.88660143108618
18,68.94315480501022
19,97.35548484279644
20,155.2477749415878
21,142.16477063404915
22,86.97825940131914
23,131.11868942206203
24,159.3773437952613
25,118.99585538680081
26,159.66311593110694
27,105.87911910013108
28,183.82759551516813
29,130.56600768926458
30,213.28409750910566
31,125.1704008232576
32,138.71533264892182
33,139.77494767139652
34,147.15742742392786
35,119.56938747390896
36,142.67561127709268
37,143.68088481861525
38,150.04981091538968
39,180.14607015290858
40,227.18826523848804
41,126.19102588453609
42,199.33417749685356
43,214.43165750615628
44,249.57247180706236
45,229.51206954809805
46,197.5573974748529
47,159.81506708726877
48,161.79696772203297
49,235.21322900288703
50,158.97939111584265
51,180.50096807151849
52,176.5842388279426
53,155.5393931920139
54,228.5959544681391
55,184.9568704307877
56,213.9409806977505
57,234.95284011366715
58,258.9951844434523
59,180.32316474029693
60,249.94866094735045
61,272.3805556669406
62,279.7527529035118
63,208.8165035547994
64,242.26192678447325
65,225.90630944603006
66,237.6394857657402
67,213.3041644917021
68,292.034442685749
69,294.616124336748
70,251.78384298875315
71,310.93018259939646
72,250.96230998792032
73,202.84945758831756
74,252.24490999019804
75,239.45794955216599
76,223.75020766620065
77,257.382542385104
78,334.68511530940464
79,259.60741041267187
80,322.5042016438238
81,255.99676590208017
82,291.3318201646276
83,266.3795602154377
84,323.6636858788534
85,232.96821936973035
86,336.8608029019608
87,266.5119563233054
88,270.06156664678724
89,283.58832440473714
90,291.65843237105463
91,276.1443384442414
92,259.457904357847
93,315.6255702446026
94,329.48800124664484
95,326.6519275119771
96,300.81723124498126
97,298.0506648385727
98,356.9099640209647
99,287.7187224383605
100,373.9041714687695
101,337.773131412786
102,327.9970229821509
103,292.7739392999013
104,364.809910095253
105,398.9984943043653
106,323.2578001937194
107,388.672524578537
108,399.24502764316577
109,388.44814001459474
110,327.8518598729932
111,311.569228321031
112,410.6271917171933
113,414.5937684872864
114,390.077929484396
115,316.1322569442872
116,415.27513733152557
117,321.00580579359377
118,408.9101536670015
119,399.23424585277434
120,384.31095567028035
121,419.26335301637135
122,354.53211042673325
123,429.4516525676369
124,413.26383358071956
125,439.0098097271617
126,343.20541613399894
127,380.6364305849407
128,374.91775819690054
129,379.6236454157305
130,385.1102094878056
131,370.0565325830069
132,423.65138926002857
133,439.4208027728954
134,380.8691096674151
135,406.1770690261268
136,365.33905159087453
137,403.0777722512451
138,484.52590376178625
139,425.84590138917684
140,398.0087236917758
141,424.931722471227
142,423.9388032605842
143,378.46548651400667
144,420.60795543365106
145,387.82515203614236
146,442.9832410472914
147,497.9548631527776
148,393.0623432401136
149,407.1900735444119
150,475.2932472767782
151,457.7156996734741
152,465.8166503968255
153,503.4634233071333
154,500.54906466457237
155,476.59763442223823
156,420.70491858892785
157,450.7424437374637
158,455.13819333416933
159,421.3396175913661
160,514.9593063975561
161,533.7508500297595
162,481.1142295550925
163,449.2070650427423
164,509.5084135843033
165,503.9739024815202
166,540.4137705250841
167,502.00760008505426
168,520.0824149305063
169,475.5824664046201
170,549.635593380279
171,531.5695488255196
172,521.5142870756107
173,514.6413485679489
174,466.43545986401955
175,536.1795583121191
176,476.893811305947
177,538.2900401473956
178,551.4488826748095
179,573.3109925580086
180,502.0092483191556
181,559.6388111558939
182,587.1239058203703
183,487.50551853282036
184,546.8964273987679
185,508.3876700114398
186,540.4054395108467
187,574.9885336770943
188,501.8838751319711
189,611.1969795898419
190,504.7638859454736
191,566.9755566028351
192,584.9609218969835
193,617.7324840785873
194,613.6066354725551
195,556.6451387035536
196,534.2263785769537
197,566.6221988000077
198,614.602801757569
199,551.2612394584322
